sample,failure
0,true
1,false
2,false
3,false
4,false
5,false
6,false
7,false
8,false
9,false
10,false
11,false
12,false
13,false
14,false
15,false
16,false
17,false
18,false
19,false
20,false
21,false
22,false
23,false
24,false
25,false
26,false
27,false
28,false
29,false
30,false
31,false
32,false
33,false
34,false
35,false
36,false
37,false
38,false
39,false
40,false
41,false
42,false
43,false
44,false
45,false
46,false
47,false
48,false
49,false
50,false
51,true
52,true
53,true
54,true
55,true
56,true
57,true
58,true
59,true
60,true
61,true
62,true
63,true
64,true
65,true
66,true
67,true
68,true
69,true
70,true
71,true
72,true
73,true
74,true
75,true
76,true
77,true
78,true
79,true
80,true
81,true
82,true
83,true
84,true
85,true
86,true
87,true
88,true
89,true
90,true
91,true
92,true
93,true
94,true
95,true
96,true
97,true
98,true
99,true
